id,data_year,school_name,private_flag,school_type,school_region,urbanization_level,enrollment_quota,new_student_count,stability,enrollment_rate,tuition_revenue_ratio,debt_ratio,net_income_ratio,totur_flag,closure_flag
128,106,敏惠醫護管理專科學校,1,技專校院,臺南市柳營區,6,915,785,98.09,85.79,53.5,11.84,46.5,0,0
129,106,文藻學校財團法人文藻外語大學,1,技專校院,高雄市三民區,2,2307,2141,96.4,92.8,63.81,6.13,36.19,0,0
130,106,新生醫護管理專科學校,1,技專校院,桃園市龍潭區,3,1301,1268,97.68,97.46,72.84,11.81,27.16,0,0
131,106,明志科技大學,1,技專校院,新北市泰山區,4,1286,1072,98.19,84.28,15.79,0.71,84.21,0,0
132,106,明新學校財團法人明新科技大學,1,技專校院,新竹縣新豐鄉,3,3733,2594,91.71,69.49,69.52,13.85,30.48,0,0
133,106,景文科技大學,1,技專校院,新北市新店區,2,2258,1740,94.62,77.13,70.3,6.11,29.7,0,0
134,106,朝陽科技大學,1,技專校院,臺中市霧峰區,4,3923,3437,96.52,87.61,64.77,5.85,35.23,0,0
135,106,東南科技大學,1,技專校院,新北市深坑區,4,1968,1308,93.64,66.6,73.37,4.11,26.63,0,0
136,106,東方學校財團法人東方設計大學,1,技專校院,高雄市湖內區,5,1373,923,94.82,67.27,68.27,5.71,31.73,0,0
137,106,樹人醫護管理專科學校,1,技專校院,高雄市路竹區,5,1686,1623,96.67,96.32,73.37,5.4,26.63,0,0
138,106,樹德科技大學,1,技專校院,高雄市燕巢區,6,3284,2748,94.92,83.68,66.73,8.19,33.27,0,0
139,106,正修學校財團法人正修科技大學,1,技專校院,高雄市鳥松區,2,5387,4710,95.43,87.56,65.93,4.92,34.07,0,0
140,106,環球學校財團法人環球科技大學,1,技專校院,雲林縣斗六市,4,2355,1504,91.93,63.89,68.93,9.05,31.07,0,0
141,106,美和學校財團法人美和科技大學,1,技專校院,屏東縣內埔鄉,6,3343,2396,95.2,71.67,72.07,7.11,27.93,0,0
142,106,耕莘健康管理專科學校,1,技專校院,新北市新店區,2,1110,1037,97.28,93.42,57.52,21.27,42.48,0,0
143,106,聖母醫護管理專科學校,1,技專校院,宜蘭縣三星鄉,6,827,553,95.15,66.87,65,10.33,35,0,0
144,106,聖約翰科技大學,1,技專校院,新北市淡水區,3,1088,682,95.11,62.74,67.19,3.97,32.81,0,0
145,106,育英醫護管理專科學校,1,技專校院,高雄市三民區,2,422,411,98.48,97.39,68.75,5.9,31.25,0,0
146,106,致理學校財團法人致理科技大學,1,技專校院,新北市板橋區,1,2629,2501,97.62,95.13,72.11,4.95,27.89,0,0
147,106,臺灣觀光學院,1,技專校院,花蓮縣壽豐鄉,6,385,115,85.15,29.87,43.59,4.43,56.41,0,0
148,106,華夏學校財團法人華夏科技大學,1,技專校院,新北市中和區,1,2071,1349,90.1,65.14,72.87,4.75,27.13,0,0
149,106,萬能學校財團法人萬能科技大學,1,技專校院,桃園市中壢區,2,3646,3145,95.07,86.42,70.06,7.85,29.94,0,0
150,106,蘭陽技術學院,1,技專校院,宜蘭縣頭城鎮,4,704,309,87.62,43.89,44.37,3.16,55.63,0,0
151,106,輔英科技大學,1,技專校院,高雄市大寮區,4,2978,2637,96.78,88.55,67.12,5.34,32.88,0,0
152,106,醒吾學校財團法人醒吾科技大學,1,技專校院,新北市林口區,3,3228,2395,93.82,74.29,73.62,3.69,26.38,0,0
153,106,長庚學校財團法人長庚科技大學,1,技專校院,桃園市龜山區,3,2294,2253,99.06,98.21,26.84,0.9,73.16,0,0
154,106,馬偕學校財團法人馬偕醫護管理專科學校,1,技專校院,臺北市北投區,2,1060,1031,97.18,97.26,50.81,11.56,49.19,0,0
155,106,高美醫護管理專科學校,1,技專校院,高雄市美濃區,7,127,60,100,47.24,39.55,11.84,60.45,0,1
156,106,黎明技術學院,1,技專校院,新北市泰山區,4,1645,1145,93.82,69.65,61.64,9.84,38.36,0,0
157,106,龍華科技大學,1,技專校院,桃園市龜山區,3,2745,2486,94.41,90.6,66.2,3.81,33.8,0,0
158,107,國立中央大學,0,一般大學,桃園市中壢區,2,3711,3442,94.17,93.43,14.2,27.87,85.8,0,0
159,107,國立中山大學,0,一般大學,高雄市鼓山區,2,2982,2648,95.73,89.65,15.79,30.75,84.21,0,0
160,107,國立中正大學,0,一般大學,嘉義縣民雄鄉,4,3401,3060,93.81,90.45,21.1,18.09,78.9,0,0
161,107,國立中興大學,0,一般大學,臺中市南區,1,4439,4142,94.88,93.64,14.81,66.07,85.19,0,0
162,107,國立嘉義大學,0,一般大學,嘉義市東區,4,3482,3146,92.61,90.96,22.3,11.47,77.7,0,0
163,107,國立宜蘭大學,0,一般大學,宜蘭縣宜蘭市,4,1456,1345,92.21,92.84,21.28,12.07,78.72,0,0
164,107,國立屏東大學,0,一般大學,屏東縣屏東市,4,2345,2116,93.39,90.4,24.73,6.05,75.27,0,0
165,107,國立彰化師範大學,0,一般大學,彰化縣彰化市,4,2403,2248,95.1,93.94,25.64,26,74.36,0,0
166,107,國立成功大學,0,一般大學,臺南市東區,2,6349,5939,94.24,94.49,12.14,33.3,87.86,0,0
167,107,國立政治大學,0,一般大學,臺北市文山區,2,4061,3829,96.57,95.13,24.94,34.01,75.06,0,0
168,107,國立暨南國際大學,0,一般大學,南投縣埔里鎮,4,1664,1359,93.1,83.18,21.52,17.06,78.48,0,0
169,107,國立東華大學,0,一般大學,花蓮縣壽豐鄉,6,2732,2259,92.79,86.05,20.32,10.74,79.68,0,0
170,107,國立清華大學,0,一般大學,新竹市東區,2,4563,4313,95.61,95.97,11.63,31.23,88.37,0,0
171,107,國立聯合大學,0,一般大學,苗栗縣苗栗市,4,2150,1922,92.66,89.64,27.23,6.23,72.77,0,0
172,107,國立臺中教育大學,0,一般大學,臺中市西區,1,1358,1269,93.44,93.68,19.85,12.84,80.15,0,0
173,107,國立臺北大學,0,一般大學,新北市三峽區,3,2633,2527,94.1,96.32,27.17,8.58,72.83,0,0
174,107,國立臺北教育大學,0,一般大學,臺北市大安區,1,1608,1465,95.45,91.77,21.48,9.5,78.52,0,0
175,107,國立臺北藝術大學,0,一般大學,臺北市北投區,2,729,680,93.92,93.91,19.15,18.46,80.85,0,0
176,107,國立臺南大學,0,一般大學,臺南市中西區,2,1706,1497,94.16,88.06,21.45,14.22,78.55,0,0
